round, agent, score
96, MarkovDecisionProcessAgentAdjusted, 17
97, AlwaysHoldAgent, 9
97, PerfectionistAgent, -49
97, OneStepLookAheadAgent, 12
97, RiskyAgent, 12
97, CautiousAgent, 12
97, MarkovDecisionProcessAgent, 16
97, MarkovDecisionProcessAgentAdjusted, 16
98, AlwaysHoldAgent, 12
98, PerfectionistAgent, 12
98, OneStepLookAheadAgent, 12
98, RiskyAgent, 12
98, CautiousAgent, 12
98, MarkovDecisionProcessAgent, 12
98, MarkovDecisionProcessAgentAdjusted, 12
99, AlwaysHoldAgent, 11
99, PerfectionistAgent, -59
99, OneStepLookAheadAgent, 11
99, RiskyAgent, 11
99, CautiousAgent, 11
99, MarkovDecisionProcessAgent, 15
99, MarkovDecisionProcessAgentAdjusted, 15
